target,query_name,actual_start_offset_ms,queue_time_ms,latency_ms,total_latency_ms,success
dbsql,q8_refactored,7089.0,9861.0,1185.0,11046.0,True
dbsql,q8_refactored,7241.0,10341.0,1278.0,11619.0,True
dbsql,q8_refactored,7426.0,10289.0,1284.0,11573.0,True
dbsql,q8_refactored,7863.0,9864.0,1278.0,11142.0,True
dbsql,q8_shape,7936.0,20531.0,231159.0,251690.0,True
dbsql,q8_refactored,8084.0,9901.0,1220.0,11121.0,True
dbsql,q8_refactored,8106.0,9892.0,782.0,10674.0,True
dbsql,q8_refactored,8107.0,10033.0,1060.0,11093.0,True
dbsql,q8_refactored,8304.0,9845.0,1108.0,10953.0,True
dbsql,q8_shape,8386.0,19985.0,240958.0,260943.0,True
dbsql,q8_shape,9080.0,19272.0,236709.0,255981.0,True
dbsql,q8_refactored,9108.0,11191.0,1148.0,12339.0,True
dbsql,q8_refactored,9111.0,11189.0,1093.0,12282.0,True
dbsql,q8_refactored,9216.0,14658.0,7875.0,22533.0,True
dbsql,q8_refactored,9232.0,14649.0,7868.0,22517.0,True
dbsql,q8_refactored,9300.0,14365.0,8015.0,22380.0,True
dbsql,q8_refactored,10078.0,14088.0,7871.0,21959.0,True
dbsql,q8_refactored,10082.0,14083.0,7871.0,21954.0,True
dbsql,q8_refactored,10493.0,13685.0,8012.0,21697.0,True
dbsql,q8_refactored,10655.0,13467.0,8015.0,21482.0,True
dbsql,q8_refactored,10987.0,13055.0,7475.0,20530.0,True
dbsql,q8_refactored,10994.0,13151.0,8015.0,21166.0,True
dbsql,q8_refactored,11154.0,10865.0,1003.0,11868.0,True
dbsql,q8_shape,11232.0,17214.0,238607.0,255821.0,True
dbsql,q8_shape,11233.0,32814.0,150505.0,183319.0,True
dbsql,q8_refactored,11245.0,12815.0,6718.0,19533.0,True
dbsql,q8_refactored,11419.0,13975.0,7359.0,21334.0,True
dbsql,q8_refactored,11427.0,12613.0,7474.0,20087.0,True
dbsql,q8_refactored,11724.0,12455.0,8013.0,20468.0,True
dbsql,q8_refactored,12075.0,12099.0,8013.0,20112.0,True
dbsql,q8_refactored,12270.0,10344.0,925.0,11269.0,True
dbsql,q8_refactored,12381.0,13013.0,7353.0,20366.0,True
dbsql,q8_refactored,12562.0,10130.0,861.0,10991.0,True
dbsql,q8_refactored,12836.0,630.0,1498.0,2128.0,True
dbsql,q8_refactored,12935.0,557.0,2720.0,3277.0,True
dbsql,q8_refactored,13099.0,19927.0,1799.0,21726.0,True
dbsql,q8_refactored,13114.0,20052.0,1050.0,21102.0,True
dbsql,q8_refactored,13131.0,19935.0,1336.0,21271.0,True
dbsql,q8_refactored,13442.0,12068.0,7384.0,19452.0,True
dbsql,q8_refactored,14070.0,9462.0,817.0,10279.0,True
dbsql,q8_refactored,14093.0,19276.0,1463.0,20739.0,True
dbsql,q8_refactored,14137.0,19009.0,681.0,19690.0,True
dbsql,q8_refactored,14297.0,801.0,1537.0,2338.0,True
dbsql,q8_refactored,14395.0,857.0,1580.0,2437.0,True
dbsql,q8_refactored,14399.0,874.0,1581.0,2455.0,True
dbsql,q8_refactored,14534.0,710.0,1556.0,2266.0,True
dbsql,q8_refactored,14535.0,690.0,1445.0,2135.0,True
dbsql,q8_refactored,14610.0,726.0,1499.0,2225.0,True
dbsql,q8_refactored,14803.0,18490.0,1289.0,19779.0,True
dbsql,q8_refactored,15076.0,8419.0,788.0,9207.0,True
dbsql,q8_refactored,15300.0,8203.0,829.0,9032.0,True
dbsql,q8_refactored,15396.0,9913.0,7360.0,17273.0,True
dbsql,q8_refactored,15398.0,9989.0,7367.0,17356.0,True
dbsql,q8_refactored,15477.0,9913.0,792.0,10705.0,True
dbsql,q8_refactored,15750.0,8725.0,787.0,9512.0,True
dbsql,q8_refactored,17454.0,554.0,1142.0,1696.0,True
dbsql,q8_refactored,17455.0,616.0,1118.0,1734.0,True
dbsql,q8_refactored,17807.0,15830.0,987.0,16817.0,True
dbsql,q8_refactored,18076.0,460.0,937.0,1397.0,True
dbsql,q8_refactored,18597.0,14825.0,1354.0,16179.0,True
dbsql,q8_refactored,18829.0,409.0,889.0,1298.0,True
dbsql,q8_refactored,19524.0,391.0,1234.0,1625.0,True
dbsql,q8_refactored,19605.0,585.0,1180.0,1765.0,True
dbsql,q8_refactored,19607.0,509.0,801.0,1310.0,True
dbsql,q8_refactored,19715.0,604.0,1146.0,1750.0,True
dbsql,q8_refactored,19831.0,536.0,1072.0,1608.0,True
dbsql,q8_refactored,19969.0,527.0,992.0,1519.0,True
dbsql,q8_refactored,20086.0,3381.0,7475.0,10856.0,True
dbsql,q8_refactored,20164.0,3673.0,7874.0,11547.0,True
dbsql,q8_refactored,20165.0,3676.0,7871.0,11547.0,True
dbsql,q8_refactored,20181.0,3678.0,7869.0,11547.0,True
dbsql,q8_refactored,20220.0,3480.0,7871.0,11351.0,True
dbsql,q8_refactored,20274.0,3480.0,7860.0,11340.0,True
dbsql,q8_refactored,20300.0,3467.0,8014.0,11481.0,True
dbsql,q8_refactored,20445.0,3467.0,8014.0,11481.0,True
dbsql,q8_refactored,20464.0,4683.0,7358.0,12041.0,True
dbsql,q8_refactored,20641.0,3397.0,7558.0,10955.0,True
dbsql,q8_refactored,20643.0,415.0,592.0,1007.0,True
dbsql,q8_refactored,20667.0,12945.0,1872.0,14817.0,True
dbsql,q8_refactored,20774.0,3268.0,7485.0,10753.0,True
dbsql,q8_refactored,20846.0,377.0,948.0,1325.0,True
dbsql,q8_refactored,20939.0,4540.0,6606.0,11146.0,True
dbsql,q8_refactored,20989.0,3181.0,8014.0,11195.0,True
dbsql,q8_refactored,21058.0,3180.0,7872.0,11052.0,True
dbsql,q8_refactored,21102.0,443.0,943.0,1386.0,True
dbsql,q8_refactored,21490.0,399.0,1019.0,1418.0,True
dbsql,q8_refactored,21526.0,2505.0,7533.0,10038.0,True
dbsql,q8_refactored,21696.0,2544.0,7872.0,10416.0,True
dbsql,q8_refactored,21697.0,373.0,982.0,1355.0,True
dbsql,q8_refactored,21824.0,2333.0,8047.0,10380.0,True
dbsql,q8_refactored,21944.0,2315.0,7874.0,10189.0,True
dbsql,q8_refactored,22077.0,432.0,875.0,1307.0,True
dbsql,q8_refactored,22080.0,479.0,853.0,1332.0,True
dbsql,q8_refactored,22245.0,3592.0,761.0,4353.0,True
dbsql,q8_refactored,22276.0,1705.0,7485.0,9190.0,True
dbsql,q8_refactored,22314.0,11377.0,1822.0,13199.0,True
dbsql,q8_refactored,22315.0,414.0,854.0,1268.0,True
dbsql,q8_refactored,22392.0,371.0,843.0,1214.0,True
dbsql,q8_refactored,22788.0,2646.0,7357.0,10003.0,True
dbsql,q8_refactored,23176.0,1954.0,7358.0,9312.0,True
dbsql,q8_refactored,23286.0,2021.0,7363.0,9384.0,True
dbsql,q8_refactored,23979.0,370.0,787.0,1157.0,True
dbsql,q8_refactored,24064.0,351.0,829.0,1180.0,True
dbsql,q8_refactored,24339.0,376.0,771.0,1147.0,True
dbsql,q8_refactored,25656.0,380.0,943.0,1323.0,True
dbsql,q8_refactored,25721.0,356.0,754.0,1110.0,True
dbsql,q8_refactored,25829.0,1188.0,594.0,1782.0,True
dbsql,q8_refactored,26472.0,358.0,1257.0,1615.0,True
dbsql,q8_refactored,26676.0,469.0,880.0,1349.0,True
dbsql,q8_refactored,27245.0,382.0,779.0,1161.0,True
dbsql,q8_refactored,27796.0,370.0,732.0,1102.0,True
dbsql,q8_refactored,28237.0,310.0,866.0,1176.0,True
dbsql,q8_refactored,28442.0,307.0,889.0,1196.0,True
dbsql,q8_refactored,29640.0,4170.0,1407.0,5577.0,True
dbsql,q8_refactored,29660.0,314.0,732.0,1046.0,True
dbsql,q8_shape,57778.0,3703.0,14091.0,17794.0,True
dbsql,q8_shape,58408.0,5506.0,15057.0,20563.0,True
dbsql,q8_shape,59372.0,31100.0,10271.0,41371.0,True
dbsql,q8_shape,79772.0,2010.0,10557.0,12567.0,True
dbsql,q8_shape,82927.0,20795.0,184994.0,205789.0,True
dbsql,q8_shape,94307.0,10164.0,183921.0,194085.0,True
dbsql,q8_shape,95832.0,8541.0,184256.0,192797.0,True
dbsql,q8_shape,96442.0,28120.0,163698.0,191818.0,True
dbsql,q8_shape,102756.0,1978.0,11077.0,13055.0,True
dbsql,q8_shape,117630.0,2078.0,10247.0,12325.0,True
dbsql,q8_shape,131815.0,3778.0,8474.0,12252.0,True
dbsql,q8_shape,146080.0,2209.0,10282.0,12491.0,True
dbsql,q8_shape,160665.0,2017.0,10058.0,12075.0,True
dbsql,q8_shape,174574.0,2791.0,10196.0,12987.0,True
dbsql,q8_shape,189311.0,2295.0,10247.0,12542.0,True
dbsql,q8_shape,197521.0,3000.0,31060.0,34060.0,True
dbsql,q8_shape,204175.0,3239.0,9095.0,12334.0,True
dbsql,q8_shape,218504.0,2122.0,8984.0,11106.0,True
dbsql,q8_shape,231517.0,2068.0,9272.0,11340.0,True
dbsql,q8_shape,233468.0,2531.0,20717.0,23248.0,True
dbsql,q8_shape,244842.0,2397.0,8938.0,11335.0,True
dbsql,q8_shape,258803.0,2474.0,20810.0,23284.0,True
dbsql,q8_shape,259156.0,2419.0,21033.0,23452.0,True
dbsql,q8_shape,264354.0,3736.0,31895.0,35631.0,True
dbsql,q8_shape,264368.0,2158.0,32736.0,34894.0,True
dbsql,q8_shape,264684.0,4189.0,31319.0,35508.0,True
dbsql,q8_shape,265037.0,3056.0,30755.0,33811.0,True
dbsql,q8_shape,266015.0,2835.0,31105.0,33940.0,True
dbsql,q8_shape,268034.0,3472.0,37158.0,40630.0,True
dbsql,q8_shape,268257.0,3261.0,36278.0,39539.0,True
dbsql,q8_shape,269320.0,2777.0,36311.0,39088.0,True
dbsql,q8_shape,271385.0,2740.0,34196.0,36936.0,True
dbsql,q8_shape,272767.0,11294.0,17660.0,28954.0,True
dbsql,q8_shape,284298.0,2303.0,16391.0,18694.0,True
dbsql,q8_shape,294102.0,2675.0,30478.0,33153.0,True
dbsql,q8_shape,294295.0,2571.0,30986.0,33557.0,True
dbsql,q8_shape,294323.0,9589.0,95133.0,104722.0,True
dbsql,q8_shape,294737.0,9128.0,104748.0,113876.0,True
dbsql,q8_shape,307706.0,2157.0,10257.0,12414.0,True
dbsql,q8_shape,313651.0,2008.0,10685.0,12693.0,True
dbsql,q8_shape,318320.0,2400.0,21723.0,24123.0,True
dbsql,q8_shape,318738.0,2109.0,22344.0,24453.0,True
dbsql,q8_shape,319234.0,2090.0,20324.0,22414.0,True
dbsql,q8_shape,319431.0,2183.0,21791.0,23974.0,True
dbsql,q8_shape,319666.0,2651.0,20413.0,23064.0,True
dbsql,q8_shape,320224.0,2099.0,21071.0,23170.0,True
dbsql,q8_shape,326014.0,2248.0,9989.0,12237.0,True
